type,text,core,criteria,overwrite
item,1. แปลผล ECG เป็น pulse monophasic VT,10 5 0,,
section,2. Cardioversion (10 คะแนน),,,
item,2.1 Sedation,2 0,,
item,2.2 เปิดเครื่องและ charge ไฟ 100 J และ synchronize,2 1 0,,
item,2.3 ใช้ gel ทาบน pad,2 0,,
item,2.4 ทำ cardioversion ได้อย่างปลอดภัย (safe shock)**,2 -100,,
item,2.5 ประเมินผู้ป่วยซ้ำทันที,2 0,,
item,3. แปลผล ecg เป็น pulseless VT,10 0,,
section,4. ทำ defibrillation (10 คะแนน),,,
item,4.1 เปิดเครื่องและ charge ไฟ 200 J และ defibrillation,2 0,,
item,4.2 ระหว่างเตรียมเครื่อง defibrillation สั่งให้ทำ chest compression ภายใน 10 วินาที,2 0,,
item,4.3 ใช้ gel ทาบน pad,2 0,,
item,4.4 ทำ defibrillation ได้อย่างปลอดภัย**,2 -100,,
item,4.5 ทำ chest compression ต่อทันที,2 0,,
item,4.6 ถ้ามีการคลำ pulse ดู ECG ก่อนเริ่ม Chest compression**,0 -100,,
item,5. maintain high quality CPR,10 5 0,,
item,6. หาสาเหตุ 5H5T,13 7 0,6 1 0,
criteria,hypovolemia,1,,
criteria,hypoxia,1,,
criteria,H+,1,,
criteria,hypo/hyper kalemia,1,,
criteria,hypothermia,1,,
criteria,tension pneumothorax,1,,
criteria,tamponade,1,,
criteria,toxin,1,,
criteria,"thrombosis, pulmonary",1,,
criteria,"thrombosis, coronary",1,,
item,7. ROSC (15 คะแนน),15 10 5 0,3 2 1 0,
criteria,Detect ROSC (คลำpulse; วัดความดันได้; ETCO2),1,,
criteria,แปลผล ECG เมื่อครบ 2 นาที เป็น sinus rhythm,1,,
criteria,ตรวจสอบ carotid pulse หรือ blood pressure,1,,
item,8. post resuscitation care (12 คะแนน),12 8 4 0,3 2 1 0,
criteria,Airway (DOPE; SpO2 > 94%),1,,
criteria,Breathing (ETCO2 35-40 mmHg),1,,
criteria,Circulation (SBP>90 mmHg),1,,
item,9. ECG 12-lead r/o ST-elevate MI,5 0,,
item,10. Check follow command,5 0,,
