type,text,core,criteria,overwrite
section,this is section 1,,,
item,การแนะนำตัว,10 5 0,,
sub,"แนะนำตัวและถามชื่อนามสกุลผู้ป่วย ให้ 10 คะแนน
ทำแต่ไม่สมบูรณ์ให้ 5 คะแนน",,,
item,การสื่อสาร,10 5 0,2 1 0,
sub,"ทำ 2/3 ข้อ ได้ 10 คะแนน
ทำ 1/3 ข้อ ได้ 5 คะแนน",,,
criteria,สุภาพ,1,,
criteria,ใช้ภาษาเข้าใจง่าย,1,,
criteria,คุยเป็นลำดับ,1,,
section,หมวดที่ 2,,,
item,บอกชื่อวันในสัปดาห์,7 6 5 4 3 2 1 0,7 6 5 4 3 2 1 0,
criteria,จันทร์,1,,
criteria,อังคาร,1,,
criteria,พุธ,1,,
criteria,พฤหัส,1,,
criteria,ศุกร์,1,,
criteria,เสาร์,1,,
criteria,อาทิตย์,1,,
item,จงให้การวินิจฉัยแยกโรค ไม่เกิน 3 โรค,10 6 4 2 0,90 6 4 2 0,
sub,"ตอบ delirium ให้คะแนนเต็ม 10 คะแนน
ตอบอย่างอื่นที่เหมาะสม ให้ข้อละ 2 คะแนน (นับแค่สามโรคแรกเท่านั้น) ",,,
criteria,delirium,99,,
criteria,dementia,2,,
criteria,depression,2,,
criteria,psychosis,2,,
criteria,confusion,2,,
criteria,โรคอื่นที่เหมาะสม (กรุณาระบุใน comment ข้างล่าง),2,,
item,แต่งตัวเรียบร้อยดูดีมีไสตล์,10 0,,1
sub,ถ้าไม่พอใจคะแนนที่จัดไว้ให้ สามารถระบุคะแนนเองได้,,,
section,section สุดท้าย,,,
item,overall performance (ทดลอง),4000 3000 2000 1000,1000 100 10 1,
sub,กรุณาเลือกข้อเดียว,,,
criteria,clear fail,1,,
criteria,borderline,10,,
criteria,clear pass,100,,
criteria,outstanding,1000,,
